Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
1995,270133,4,0.486,0.911,5,-4.18,1,0.0443,8.45e-05,0.00364,0.613,0.362,126.393,33,0
1996,285106,4,0.635,0.647,7,-7.055,0,0.0235,0.000256,0.00132,0.358,0.464,94.196,40,0
1996,258533,4,0.634,0.756,1,-4.81,0,0.0332,0.00251,0.000441,0.0427,0.661,119.948,51,0
1998,218134,4,0.559,0.772,0,-6.947,1,0.033,0.000553,0.0332,0.435,0.477,113.875,51,0
1998,234573,4,0.544,0.763,4,-6.556,0,0.0256,0.0192,0.00159,0.154,0.603,95.018,35,0
1998,242533,4,0.564,0.909,0,-6.471,1,0.0311,0.00034,0.11,0.0746,0.892,123.895,42,0
1998,223602,4,0.443,0.944,0,-3.71,0,0.0377,8.79e-05,0.000542,0.369,0.573,131.828,42,0
1999,237733,4,0.477,0.855,10,-4.612,0,0.03,0.0421,0.0843,0.126,0.462,85.806,39,0
1999,204527,4,0.581,0.841,7,-7.183,0,0.0386,0.000772,2.52e-05,0.754,0.742,139.873,45,0
1992,199240,4,0.544,0.895,2,-7.253,1,0.0457,0.00666,0.0,0.105,0.932,134.65,49,0
1992,233400,4,0.539,0.826,7,-8.037,1,0.0276,0.00224,0.0451,0.0832,0.669,134.718,60,0
1992,236626,4,0.471,0.797,6,-8.407,0,0.0389,0.000179,6.49e-06,0.299,0.497,152.903,63,0
1992,265866,4,0.508,0.807,4,-8.71,0,0.0318,8.12e-05,1.2e-05,0.109,0.817,142.777,29,0
1992,232600,4,0.641,0.696,1,-9.456,0,0.0266,0.00768,0.0258,0.0485,0.82,122.721,45,0
1996,270066,4,0.461,0.924,4,-7.047,0,0.0449,0.0123,0.0,0.0342,0.68,155.829,54,0
1996,186400,4,0.614,0.685,7,-8.309,1,0.0261,0.0872,0.0,0.339,0.748,112.519,38,0
1994,181533,4,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,83,0
1994,233240,4,0.381,0.732,10,-7.594,0,0.0536,0.00834,0.0101,0.0854,0.814,142.504,67,0
1994,178000,4,0.531,0.909,11,-4.236,1,0.034,0.0175,0.0,0.231,0.814,97.546,80,0
